ID,SMILES,Manifold_X,Manifold_Y,Bioactivity_Score,LogP,TPSA,MolWt,Dipole_Proxy,Max_Partial_Charge,Balaban_J,Bertz_CT,cluster_dbscan,region_id,region_type,cx,cy,degree,deg_norm,cent_score,rep_score,is_high_activity_global_q75
0,Nc1cccc(O)c1,7.3517504,7.181257,1.656789972,0.9744,46.25,109.0527638,0.625015681,0.1171292,3.077660438,168.3883389,0,0,hotspot,7.099879520207254,5.635156638341969,7.0,0.24999999999996875,0.7945009176569061,0.37962187417705584,False
1,COc1ccc2ccccc2c1,7.455242,7.9248977,9.242442703,2.8484,9.23,158.0731649,0.61574448,0.118999375,2.673996463,392.881175,0,0,hotspot,7.099879520207254,5.635156638341969,8.0,0.37499999999995315,0.6702835167196861,0.6832827631358548,True
2,CC(C)c1ccc(Cl)cc1,5.841762,8.449295,4.84862167,3.4634,0.0,154.054928,0.124912818,0.040568688,2.893762784,198.4731805,0,0,hotspot,7.099879520207254,5.635156638341969,10.0,0.6249999999999218,0.5436260405836444,0.5445326789750504,False
3,Clc1ccc2ccccc2c1,7.758453,8.0870695,5.617119208,3.4932,0.0,162.0236279,0.125508695,0.041187665,2.828901216,379.2844904,0,0,hotspot,7.099879520207254,5.635156638341969,6.0,0.12499999999998437,0.6336034472205216,0.45226580248612935,False
4,C#Cc1cccc(CC(=O)O)c1,6.857584,5.1201677,5.932638677,1.295,37.3,160.0524295,0.78830168,0.307315511,2.882823603,333.9369705,0,0,hotspot,7.099879520207254,5.635156638341969,5.0,0.0,0.9595361789960348,0.5251664007787867,True
5,CC(C)(F)c1ccccc1,2.9808328,11.077602,6.435432135,2.8912,0.0,138.0844786,0.36927886,0.129983559,2.966043179,195.718293,1,1,hotspot,2.99682739,11.0612441,9.0,0.4999999999999375,1.0,0.7074172853999555,True
6,Cn1c(Br)nc2cncnc21,-11.917422,-0.002959403,4.802795444,1.1258,43.6,211.9697583,0.484942147,0.178651418,2.924165617,394.3816552,2,2,normal,-10.67025554347826,1.3251711124347825,8.0,0.37499999999995315,0.12609235090665338,0.34243952303196273,False
7,C#CCn1cnc2cncnc21,-7.4717536,-3.3255706,4.426375328,0.4595,43.6,158.0592462,0.466904669,0.163536589,2.641614953,437.4997407,3,3,hotspot,-7.51545176,-3.2843907299999997,5.0,0.0,0.5593583290803743,0.34486251184409455,False
8,Cn1c(CO)nc2cncnc21,-11.744623,-0.0614003,3.870656268,-0.1444,63.83,164.0698109,0.551130392,0.162698382,2.784076402,408.6986225,2,2,normal,-10.67025554347826,1.3251711124347825,5.0,0.0,0.23522406355880054,0.22539346978762467,False
9,CC(C)(N)c1ccccc1,2.976872,11.081763,3.525138268,1.8804,26.02,135.1047994,0.357046052,0.035193011,2.966043179,195.718293,1,1,hotspot,2.99682739,11.0612441,9.0,0.4999999999999375,0.9610692795114114,0.5793263145733906,False
