id_min,id_max,Source,Target,Tanimoto_Similarity,activity_i_raw,activity_j_raw,activity_i_norm,activity_j_norm,delta_activity_norm,cliff_strength_raw,region_pair,cliff_strength_norm,is_cliff_moderate,is_cliff_strong
0,263,0,263,0.611111111,1.656789972,4.810172691,0.16567899719998344,0.4810172690999519,0.31533827189996844,0.1927067216816098,R₁,0.3601991299878157,True,False
0,273,0,273,0.48,1.656789972,4.709506618,0.16567899719998344,0.4709506617999529,0.30527166459996946,0.14653039900798534,R₁,0.27385233811116894,True,False
0,221,0,221,0.47826087,1.656789972,3.966052657,0.16567899719998344,0.39660526569996035,0.2309262684999769,0.11044299807865256,R₁,0.20637118939695875,False,False
0,255,0,255,0.47826087,1.656789972,5.927492113,0.16567899719998344,0.5927492112999406,0.42707021409995716,0.2042509721465318,R₁,0.3817861454656825,True,True
0,214,0,214,0.47826087,1.656789972,4.82540289,0.16567899719998344,0.48254028899995177,0.31686129179996836,0.15154235708557673,R₁,0.2832243815300238,True,False
1,17,1,17,0.571428571,9.242442703,5.838750569,0.9242442702999075,0.5838750568999416,0.34036921339996595,0.1944966932255366,R₁,0.36354626313787164,True,True
1,158,1,158,0.48,9.242442703,5.153178525,0.9242442702999075,0.5153178524999485,0.408926417799959,0.1962846805439803,R₁,0.3668896859122436,True,True
1,309,1,309,0.464285714,9.242442703,6.254924691,0.9242442702999075,0.6254924690999375,0.29875180119997,0.13870619332891415,R₁,0.25922157021425424,True,False
1,32,1,32,0.458333333,9.242442703,5.150112625,0.9242442702999075,0.5150112624999486,0.40923300779995897,0.1875651284385702,R₁,0.35058467703951507,True,False
1,311,1,311,0.444444444,9.242442703,6.415805838,0.9242442702999075,0.6415805837999358,0.28266368649997176,0.12562830498547026,R₁,0.23476674926718946,False,False
2,67,2,67,0.578947368,4.84862167,8.599205097,0.4848621669999515,0.8599205096999141,0.3750583426999626,0.21713904035258536,R₁,0.4058860148066377,True,True
2,47,2,47,0.55,4.84862167,4.375651302,0.4848621669999515,0.4375651301999562,0.04729703679999531,0.026013370239997422,R₁,0.04849314538867701,False,False
2,201,2,201,0.55,4.84862167,4.554140764,0.4848621669999515,0.4554140763999544,0.02944809059999709,0.0161964498299984,R₁,0.03013612745324994,False,False
2,16,2,16,0.55,4.84862167,7.04303363,0.4848621669999515,0.7043033629999296,0.21944119599997808,0.12069265779998796,R₁,0.22553740237194989,False,False
2,149,2,149,0.52173913,4.84862167,5.12220919,0.4848621669999515,0.5122209189999488,0.02735875199999732,0.014274131466364364,R₁,0.026541514152434317,False,False
3,241,3,241,0.47826087,5.617119208,6.232726246,0.5617119207999438,0.6232726245999377,0.0615607037999939,0.02944207575719739,R₁,0.05490460703304658,False,False
3,211,3,211,0.47826087,5.617119208,7.856904554,0.5617119207999438,0.7856904553999214,0.22397853459997763,0.1071201688191104,R₁,0.20015770963281107,False,False
3,128,3,128,0.47826087,5.617119208,7.817865419,0.5617119207999438,0.7817865418999218,0.220074621099978,0.10525307975219583,R₁,0.196666371610606,False,False
3,101,3,101,0.47826087,5.617119208,8.405303476,0.5617119207999438,0.840530347599916,0.27881842679997215,0.13334794337338599,R₁,0.24920198296814133,False,False
1,3,1,3,0.44,9.242442703,5.617119208,0.9242442702999075,0.5617119207999438,0.3625323494999637,0.15951423377998403,R₁,0.29813128485066126,True,False
4,256,4,256,0.612903226,5.932638677,4.926914912,0.5932638676999407,0.4926914911999507,0.10057237649998996,0.06164113400333043,R₁,0.1151148017827241,False,False
4,185,4,185,0.5625,5.932638677,4.489303859,0.5932638676999407,0.44893038589995504,0.14433348179998562,0.08118758351249192,R₁,0.15166542145038753,False,False
4,43,4,43,0.5625,5.932638677,5.235499927,0.5932638676999407,0.5235499926999476,0.06971387499999304,0.039214054687496086,R₁,0.07317758725456255,False,False
4,312,4,312,0.5625,5.932638677,3.836781506,0.5932638676999407,0.38367815059996163,0.20958571709997903,0.11789196586873821,R₁,0.22030028626360376,False,False
4,174,4,174,0.545454545,5.932638677,4.863517201,0.5932638676999407,0.4863517200999513,0.10691214759998935,0.058315716824125036,R₁,0.10889648277310131,False,False
5,136,5,136,0.578947368,6.435432135,5.33336902,0.6435432134999356,0.5333369019999467,0.11020631149998894,0.06380365397990673,R₂,0.11915857685044252,False,False
5,9,5,9,0.523809524,6.435432135,3.525138268,0.6435432134999356,0.35251382679996474,0.29102938669997086,0.15244396451732367,R₂,0.28491033018846823,True,False
