ID,SMILES,Manifold_X,Manifold_Y,Bioactivity_Score,LogP,TPSA,MolWt,Dipole_Proxy,Max_Partial_Charge,Balaban_J,Bertz_CT,cluster_dbscan,region_id,region_type,cx,cy,degree,deg_norm,cent_score,rep_score,is_high_activity_global_q75,local_sensitivity,neighbor_cliff_mean,neighbor_cliff_max,neighbor_count,activity_minmax,paper_region,is_high_activity,is_high_local_sensitivity,quadrant_type
0,Nc1cccc(O)c1,7.3517504,7.181257,1.656789972,0.9744,46.25,109.0527638,0.625015681,0.1171292,3.077660438,168.3883389,0,0,hotspot,7.099879520207254,5.635156638341969,7.0,0.2499999999999687,0.7945009176569061,0.3796218741770558,False,0.28359582478509643,0.24151425877913094,0.3817861454656825,7,0.16567899719998344,R₁,False,True,普通活性-高敏感
1,COc1ccc2ccccc2c1,7.455242,7.9248977,9.242442703,2.8484,9.23,158.0731649,0.61574448,0.118999375,2.673996463,392.881175,0,0,hotspot,7.099879520207254,5.635156638341969,8.0,0.3749999999999531,0.6702835167196861,0.6832827631358548,True,0.2941711291894374,0.26300603345109186,0.3668896859122436,8,0.9242442702999075,R₁,True,True,高活性-高敏感
2,CC(C)c1ccc(Cl)cc1,5.841762,8.449295,4.84862167,3.4634,0.0,154.054928,0.124912818,0.040568688,2.893762784,198.4731805,0,0,hotspot,7.099879520207254,5.635156638341969,10.0,0.6249999999999218,0.5436260405836444,0.5445326789750504,False,0.1936493857417788,0.10269083042826781,0.4058860148066377,10,0.4848621669999515,R₁,False,False,普通活性-低敏感
3,Clc1ccc2ccccc2c1,7.758453,8.0870695,5.617119208,3.4932,0.0,162.0236279,0.125508695,0.041187665,2.828901216,379.2844904,0,0,hotspot,7.099879520207254,5.635156638341969,6.0,0.1249999999999843,0.6336034472205216,0.4522658024861293,False,0.20960019722557968,0.17165830252911615,0.29813128485066126,6,0.5617119207999438,R₁,False,False,普通活性-低敏感
4,C#Cc1cccc(CC(=O)O)c1,6.857584,5.1201677,5.932638677,1.295,37.3,160.0524295,0.78830168,0.307315511,2.882823603,333.9369705,0,0,hotspot,7.099879520207254,5.635156638341969,5.0,0.0,0.9595361789960348,0.5251664007787867,True,0.1597717270124942,0.13383091590487584,0.22030028626360376,5,0.5932638676999407,R₁,True,False,高活性-低敏感
5,CC(C)(F)c1ccccc1,2.9808328,11.077602,6.435432135,2.8912,0.0,138.0844786,0.36927886,0.129983559,2.966043179,195.718293,1,1,hotspot,2.99682739,11.0612441,9.0,0.4999999999999375,1.0,0.7074172853999555,True,0.1877813789642346,0.1461546855824202,0.28491033018846823,9,0.6435432134999356,R₂,True,False,高活性-低敏感
6,Cn1c(Br)nc2cncnc21,-11.917422,-0.002959403,4.802795444,1.1258,43.6,211.9697583,0.484942147,0.178651418,2.924165617,394.3816552,2,2,normal,-10.67025554347826,1.3251711124347825,8.0,0.3749999999999531,0.1260923509066533,0.3424395230319627,False,0.22487481244096152,0.1385758406362141,0.4262390799853722,8,0.48027954439995196,R₃,False,False,普通活性-低敏感
7,C#CCn1cnc2cncnc21,-7.4717536,-3.3255706,4.426375328,0.4595,43.6,158.0592462,0.466904669,0.163536589,2.641614953,437.4997407,3,3,hotspot,-7.51545176,-3.28439073,5.0,0.0,0.5593583290803743,0.3448625118440945,False,0.22269323715898953,0.18003892578567365,0.32221996369672656,5,0.4426375327999557,R₄,False,False,普通活性-低敏感
8,Cn1c(CO)nc2cncnc21,-11.744623,-0.0614003,3.870656268,-0.1444,63.83,164.0698109,0.551130392,0.162698382,2.784076402,408.6986225,2,2,normal,-10.67025554347826,1.3251711124347825,5.0,0.0,0.2352240635588005,0.2253934697876246,False,0.19566894201813873,0.127507671162294,0.3547119073484431,5,0.38706562679996126,R₃,False,False,普通活性-低敏感
9,CC(C)(N)c1ccccc1,2.976872,11.081763,3.525138268,1.8804,26.02,135.1047994,0.357046052,0.035193011,2.966043179,195.718293,1,1,hotspot,2.99682739,11.0612441,9.0,0.4999999999999375,0.9610692795114114,0.5793263145733906,False,0.21989196070355632,0.17831418651868025,0.3169067671349338,9,0.35251382679996474,R₂,False,False,普通活性-低敏感
10,CCCC(C)c1ccccc1,12.117259,1.9337927,5.671885784,3.5902,0.0,148.1252005,0.046312285,-0.019048743,2.610675164,188.4531007,0,0,hotspot,7.099879520207254,5.635156638341969,6.0,0.1249999999999843,0.0219907328268121,0.2709726512080162,False,0.2845446207712409,0.2133176639719135,0.45074085330300473,6,0.5671885783999432,R₁,False,True,普通活性-高敏感
11,COc1ccccc1CC(=O)O,4.404316,4.4647503,7.040233483,1.3223,46.53,166.0629942,0.803920739,0.307459511,2.8889413,280.8570663,0,0,hotspot,7.099879520207254,5.635156638341969,6.0,0.1249999999999843,0.5674341027663659,0.4893395701498769,True,0.23254602442419126,0.19219588833332754,0.32669634196953995,6,0.7040233482999295,R₁,True,False,高活性-低敏感
